NDB_No,Shrt_Desc,Main food description,Food code,FoodCategory
01123,"EGG,WHL,RAW,FRSH","Egg, whole, raw",31101010,Eggs
01124,"EGG,WHITE,RAW,FRESH","Egg, white only, raw",31108010,Eggs
01125,"EGG,YOLK,RAW,FRSH","Egg, yolk only, raw",31110010,Eggs
01128,"EGG,WHL,CKD,FRIED","Egg, whole, fried, from fast food / restaurant",31105090,Eggs
01145,"BUTTER,WITHOUT SALT","Butter, stick, unsalted",81101100,"Fats, Oils, and Salad Dressings"
01145,"BUTTER,WITHOUT SALT","Butter, whipped, tub, unsalted",81101110,"Fats, Oils, and Salad Dressings"
01145,"BUTTER,WITHOUT SALT","Butter, whipped, stick, unsalted",81101120,"Fats, Oils, and Salad Dressings"
01165,"CHEESE,MEXICAN,QUESO ANEJO","Queso Anejo, aged Mexican cheese",14131000,Milk and Milk Products
01166,"CHEESE,MEXICAN,QUESO ASADERO",Queso Asadero,14131500,Milk and Milk Products
01167,"CHEESE,MEXICAN,QUESO CHIHUAHUA",Queso Chihuahua,14132000,Milk and Milk Products
01169,"CHEESE,LOW-SODIUM,CHEDDAR OR COLBY","Cheese, Cheddar, reduced sodium",14110010,Milk and Milk Products
01178,"SOUR CREAM,REDUCED FAT","Sour cream, reduced fat",12310300,Milk and Milk Products
01179,"SOUR CREAM,LIGHT","Sour cream, light",12310350,Milk and Milk Products
01180,"SOUR CREAM,FAT FREE","Sour cream, fat free",12310370,Milk and Milk Products
01185,"PARMESAN CHS TOPPING,FAT FREE","Cheese, Parmesan, dry grated, fat free",14108060,Milk and Milk Products
01186,"CHEESE,CREAM,FAT FREE","Cheese, processed cream cheese product, nonfat or fat free",14410380,Milk and Milk Products
01199,"CREAM,HALF & HALF,FAT FREE","Cream, half and half, fat free",12120110,Milk and Milk Products
01205,"CREAM SUB,FLAV,LIQ","Coffee creamer, liquid, flavored",12210210,Milk and Milk Products
01206,"CREAM SUB,FLAV,PDR","Coffee creamer, powder, flavored",12210420,Milk and Milk Products
01208,"CHEESE,PROVOLONE,RED FAT","Cheese, provolone, reduced fat",14108420,Milk and Milk Products
01209,"CHEESE,MEXICAN,BLEND,RED FAT","Cheese, Mexican blend, reduced fat",14120020,Milk and Milk Products
01215,"CHEESE PRODUCT,PAST PROCESS,AMERICAN,RED FAT,FORT W/ VIT D","Cheese, American, reduced fat",14410120,Milk and Milk Products
01223,"PROTEIN SUPP,MILK BSD,MUSCLE MILK,PDR",Nutritional powder mix (Muscle Milk),95202000,"Energy drinks, sports drinks etc"
01224,"PROTEIN SUPP,MILK BSD,MUSCLE MILK LT,PDR","Nutritional powder mix, light (Muscle Milk)",95202010,"Energy drinks, sports drinks etc"
01224,"PROTEIN SUPP,MILK BSD,MUSCLE MILK LT,PDR","Nutritional powder mix, protein, light, NFS",95230020,"Energy drinks, sports drinks etc"
01225,DULCE DE LECHE,"Milk dessert or milk candy, Puerto Rican style",13252200,Milk and Milk Products
01228,"CHEESE,FRSH,QUESO FRESCO",Queso Fresco,14133000,Milk and Milk Products
01230,"MILK,BTTRMLK,FLUID,WHL","Buttermilk, whole",11115300,Milk and Milk Products
01235,"YOGURT,FRZ,FLAVORS NOT CHOC,NONFAT MILK,W/ LOW-CALORIE SWTNR","Yogurt, frozen, flavors other than chocolate, nonfat milk",11460300,Milk and Milk Products
01235,"YOGURT,FRZ,FLAVORS NOT CHOC,NONFAT MILK,W/ LOW-CALORIE SWTNR","Yogurt, frozen, flavors other than chocolate, nonfat milk, with low-calorie sweetener",11460410,Milk and Milk Products
01236,"ICE CRM,SOFT SERVE,CHOC","Ice cream, soft serve, chocolate",13110210,Milk and Milk Products
01237,"ICE CRM,BAR OR STK,CHOC COVERED","Ice cream bar or stick, chocolate covered",13120100,Milk and Milk Products
01238,ICE CRM SNDWCH,Ice cream sandwich,13120500,Milk and Milk Products
01239,ICE CRM COOKIE SNDWCH,Ice cream cookie sandwich,13120550,Milk and Milk Products
01240,"ICE CRM CONE,CHOC COVERED,W/ NUTS,FLAVORS OTHER THAN CHOC","Ice cream cone, chocolate covered, with nuts, flavors other than chocolate",13120710,Milk and Milk Products
01241,"ICE CRM SNDWCH,MADE W/ LT ICE CRM,VANILLA","Ice cream sandwich, made with light ice cream, flavors other than chocolate",13135000,Milk and Milk Products
01242,"ICE CRM SNDWCH,VANILLA,LT,NO SUGAR ADDED","Ice cream sandwich, made with light, no sugar added ice cream",13136000,Milk and Milk Products
01244,"MILK DSSRT BAR,FRZ,MADE FROM LOWFAT MILK","Milk dessert bar, frozen, made from lowfat milk",13161000,Milk and Milk Products
01250,"NUTRITIONAL SUPP FOR PEOPLE W/ DIABETES,LIQ","Nutritional drink or shake, ready-to-drink, sugar free (Glucerna)",95104000,"Energy drinks, sports drinks etc"
01251,"CHEESE,MEXICAN BLEND","Cheese, Mexican blend",14120010,Milk and Milk Products
01252,"DAIRY,CHS PRODUCT,PAST PROCESS,AMERICAN,VITAMIN D FORT","Cheese, American",14410110,Milk and Milk Products
01256,"YOGURT,GREEK,PLN,NONFAT","Yogurt, Greek, nonfat milk, plain",11411420,Milk and Milk Products
01259,"CHEESE SPRD,AMERICAN OR CHEDDAR CHS BASE,RED FAT","Cheese spread, American or Cheddar cheese base, reduced fat",14410330,Milk and Milk Products
01260,"CHEESE,CHEDDAR,RED FAT","Cheese, Cheddar, reduced fat",14104110,Milk and Milk Products
01263,"ICE CRM,LT,SOFT SERVE,CHOC","Light ice cream, soft serve, chocolate",13130610,Milk and Milk Products
01264,"ICE CRM BAR,STK OR NUGGET,W/ CRUNCH COATING","Ice cream bar, stick or nugget, with crunch coating",13120310,Milk and Milk Products
01265,"CHEESE,CHEDDAR,NONFAT OR FAT FREE","Cheese, Cheddar, nonfat or fat free",14104115,Milk and Milk Products
01266,"CHEESE,SWISS,NONFAT OR FAT FREE","Cheese, Swiss, nonfat or fat free",14109040,Milk and Milk Products
01267,QUESO COTIJA,Queso cotija,14134000,Milk and Milk Products
02044,"BASIL,FRESH","Basil, raw",75109400,Vegetables
02046,"MUSTARD,PREPARED,YELLOW",Mustard,75506010,Vegetables
02048,"VINEGAR,CIDER",Vinegar,64401000,Fruits
02055,"HORSERADISH,PREPARED",Horseradish,75503090,Vegetables
03001,"BABYFOOD,JUC TREATS,FRUIT MEDLEY,TODD","Fruit flavored snack, baby food",67430000,Fruits
03002,"BABYFOOD,MEAT,BF,STR","Beef, baby food, strained",21701010,"Meat, Poultry, Fish, and Mixtures"
03003,"BABYFOOD,MEAT,BF,STR","Beef, baby food, junior",21701020,"Meat, Poultry, Fish, and Mixtures"
03005,"BABYFOOD,MEAT,VEAL,STR","Veal, baby food, strained",23420010,"Meat, Poultry, Fish, and Mixtures"
03008,"BABYFOOD,MEAT,HAM,STR","Ham, baby food, strained",22810010,"Meat, Poultry, Fish, and Mixtures"
03010,"BABYFOOD,MEAT,LAMB,STR","Lamb, baby food, strained",23410010,"Meat, Poultry, Fish, and Mixtures"
03012,"BABYFOOD,MEAT,CHICK,STR","Chicken, baby food, strained",24701010,"Meat, Poultry, Fish, and Mixtures"
03013,"BABYFOOD,MEAT,CHICK,JR","Chicken, baby food, junior",24701020,"Meat, Poultry, Fish, and Mixtures"
03014,"BABYFOOD,MEAT,CHICK STKS,JR","Chicken stick, baby food",24705010,"Meat, Poultry, Fish, and Mixtures"
03015,"BABYFOOD,MEAT,TURKEY,STR","Turkey, baby food, strained",24703010,"Meat, Poultry, Fish, and Mixtures"
03016,"BABYFOOD,MEAT,TURKEY,JR","Turkey, baby food, junior",24703020,"Meat, Poultry, Fish, and Mixtures"
03017,"Babyfood, meat, turkey sticks, junior","Turkey stick, baby food",24706010,"Meat, Poultry, Fish, and Mixtures"
03019,"BABYFOOD,SNACK,GERBER GRADUATE FRUIT STRIPS,REAL FRUIT BARS","Fruit bar, with added vitamin C, baby food, toddler",67100110,Fruits
03021,"BABYFOOD,MEAT,MEAT STKS,JR","Meat sticks, baby food, NS as to type of meat",20000090,"Meat, Poultry, Fish, and Mixtures"
03021,"BABYFOOD,MEAT,MEAT STKS,JR","Meat stick, baby food",22820000,"Meat, Poultry, Fish, and Mixtures"
03044,"BABYFOOD,DINNER,MACARONI&TOMATO&BF,STR","Macaroni, tomatoes, and beef, baby food, strained",58503010,Grain Products
03045,"BABYFOOD,DINNER,MACARONI&TOMATO&BF,JR","Macaroni, tomatoes, and beef, baby food, junior",58503020,Grain Products
03046,"BABYFOOD,RAVIOLI,CHS FILLED,W/TOMATO SAU","Ravioli, cheese-filled, with tomato sauce, baby food, toddler",58509100,Grain Products
