str,Resource
"Yogurt, chocolate, nonfat milk",http://idea.rpi.edu/heals/kb/usda#01187
KRAFT CHEEZ WHIZ Pasteurized Process Cheese Sauce,http://idea.rpi.edu/heals/kb/usda#01188
KRAFT CHEEZ WHIZ LIGHT Pasteurized Process Cheese Product,http://idea.rpi.edu/heals/kb/usda#01189
KRAFT FREE Singles American Nonfat Pasteurized Process Cheese Product,http://idea.rpi.edu/heals/kb/usda#01190
KRAFT VELVEETA Pasteurized Process Cheese Spread,http://idea.rpi.edu/heals/kb/usda#01191
KRAFT VELVEETA LIGHT Reduced Fat Pasteurized Process Cheese Product,http://idea.rpi.edu/heals/kb/usda#01192
KRAFT BREAKSTONE'S Reduced Fat Sour Cream,http://idea.rpi.edu/heals/kb/usda#01193
KRAFT BREAKSTONE'S FREE Fat Free Sour Cream,http://idea.rpi.edu/heals/kb/usda#01194
"Cream, half and half, fat free",http://idea.rpi.edu/heals/kb/usda#01199
Reddi Wip Fat Free Whipped Topping,http://idea.rpi.edu/heals/kb/usda#01200
"Yogurt, fruit, lowfat",http://idea.rpi.edu/heals/kb/usda#01203
"Cheese, parmesan, dry grated",http://idea.rpi.edu/heals/kb/usda#01204
"Cream substitute, flavored, liquid",http://idea.rpi.edu/heals/kb/usda#01205
"Cream substitute, flavored, powdered",http://idea.rpi.edu/heals/kb/usda#01206
"Cheese, provolone, reduced fat",http://idea.rpi.edu/heals/kb/usda#01208
"Cheese, Mexican, blend",http://idea.rpi.edu/heals/kb/usda#01209
"Cheese product, pasteurized process, American",http://idea.rpi.edu/heals/kb/usda#01215
"Yogurt, fruit variety, nonfat",http://idea.rpi.edu/heals/kb/usda#01218
"Yogurt, vanilla, low fat",http://idea.rpi.edu/heals/kb/usda#01220
"Protein supplement, milk based, Muscle Milk",http://idea.rpi.edu/heals/kb/usda#01223
"Protein supplement, milk based, Muscle Milk Light",http://idea.rpi.edu/heals/kb/usda#01224
Dulce de Leche,http://idea.rpi.edu/heals/kb/usda#01225
"Egg substitute, liquid or frozen, fat free",http://idea.rpi.edu/heals/kb/usda#01226
"Cheese, dry white, queso seco",http://idea.rpi.edu/heals/kb/usda#01227
"Cheese, fresh, queso fresco",http://idea.rpi.edu/heals/kb/usda#01228
"Cheese, white, queso blanco",http://idea.rpi.edu/heals/kb/usda#01229
"Yogurt, vanilla flavor, lowfat milk",http://idea.rpi.edu/heals/kb/usda#01231
"Yogurt, frozen, flavors not chocolate",http://idea.rpi.edu/heals/kb/usda#01235
"Ice cream, soft serve, chocolate",http://idea.rpi.edu/heals/kb/usda#01236
"Ice cream, bar or stick, chocolate covered",http://idea.rpi.edu/heals/kb/usda#01237
Ice cream sandwich,http://idea.rpi.edu/heals/kb/usda#01238
Ice cream cookie sandwich,http://idea.rpi.edu/heals/kb/usda#01239
"Ice cream cone, chocolate covered, with nuts",http://idea.rpi.edu/heals/kb/usda#01240
"Ice cream sandwich, made with light ice cream, vanilla",http://idea.rpi.edu/heals/kb/usda#01241
"Ice cream sandwich, vanilla, light",http://idea.rpi.edu/heals/kb/usda#01242
"Fat free ice cream, no sugar added, flavors other than chocolate",http://idea.rpi.edu/heals/kb/usda#01243
"Milk dessert bar, frozen, made from lowfat milk",http://idea.rpi.edu/heals/kb/usda#01244
"Nutritional supplement for people with diabetes, liquid",http://idea.rpi.edu/heals/kb/usda#01250
"Cheese, Mexican blend",http://idea.rpi.edu/heals/kb/usda#01251
"Yogurt, Greek, plain",http://idea.rpi.edu/heals/kb/usda#01256
"Cheese spread, American or Cheddar cheese base, reduced fat",http://idea.rpi.edu/heals/kb/usda#01259
"Cheese, cheddar, reduced fat ",http://idea.rpi.edu/heals/kb/usda#01260
"Ice cream, light, soft serve",http://idea.rpi.edu/heals/kb/usda#01263
"Ice cream bar, stick or nugget, with crunch coating",http://idea.rpi.edu/heals/kb/usda#01264
"Cheese, cheddar, nonfat or fat free",http://idea.rpi.edu/heals/kb/usda#01265
"Cheese, Swiss, nonfat or fat free",http://idea.rpi.edu/heals/kb/usda#01266
"Cheese, mexican, queso cotija",http://idea.rpi.edu/heals/kb/usda#01267
"Cheese, cheddar, sharp",http://idea.rpi.edu/heals/kb/usda#01270
"Yogurt, Greek, nonfat",http://idea.rpi.edu/heals/kb/usda#01275
"Yogurt, Greek, strawberry",http://idea.rpi.edu/heals/kb/usda#01276
"Yogurt, Greek, vanilla",http://idea.rpi.edu/heals/kb/usda#01286
"Kefir, lowfat, plain",http://idea.rpi.edu/heals/kb/usda#01289
"Kefir, lowfat, strawberry",http://idea.rpi.edu/heals/kb/usda#01290
"Milk, evaporated, 2% fat",http://idea.rpi.edu/heals/kb/usda#01291
"Milk, chocolate, fat free",http://idea.rpi.edu/heals/kb/usda#01292
"Yogurt, Greek, fruit",http://idea.rpi.edu/heals/kb/usda#01294
"Yogurt, vanilla, non-fat",http://idea.rpi.edu/heals/kb/usda#01295
"Yogurt, frozen, flavors other than chocolate",http://idea.rpi.edu/heals/kb/usda#01298
"Ice cream bar, covered with chocolate and nuts",http://idea.rpi.edu/heals/kb/usda#01300
Ice cream sundae cone,http://idea.rpi.edu/heals/kb/usda#01301
"Light ice cream, Creamsicle",http://idea.rpi.edu/heals/kb/usda#01302
"Cream, half and half, lowfat",http://idea.rpi.edu/heals/kb/usda#01303
"Ice cream, lowfat, no sugar added",http://idea.rpi.edu/heals/kb/usda#01306
"Yogurt, Greek, whole",http://idea.rpi.edu/heals/kb/usda#01308
"Yogurt, Greek, Blueberry",http://idea.rpi.edu/heals/kb/usda#01320
"Butter, Clarified butter ",http://idea.rpi.edu/heals/kb/usda#01323
"Spices, allspice, ground",http://idea.rpi.edu/heals/kb/usda#02001
"Spices, anise seed",http://idea.rpi.edu/heals/kb/usda#02002
"Spices, basil, dried",http://idea.rpi.edu/heals/kb/usda#02003
"Spices, bay leaf",http://idea.rpi.edu/heals/kb/usda#02004
"Spices, caraway seed",http://idea.rpi.edu/heals/kb/usda#02005
"Spices, cardamom",http://idea.rpi.edu/heals/kb/usda#02006
"Spices, celery seed",http://idea.rpi.edu/heals/kb/usda#02007
"Spices, chervil, dried",http://idea.rpi.edu/heals/kb/usda#02008
"Spices, chili powder",http://idea.rpi.edu/heals/kb/usda#02009
"Spices, cinnamon, ground",http://idea.rpi.edu/heals/kb/usda#02010
Cassia,http://idea.rpi.edu/heals/kb/usda#02010
"Spices, cloves, ground",http://idea.rpi.edu/heals/kb/usda#02011
"Spices, coriander leaf, dried",http://idea.rpi.edu/heals/kb/usda#02012
Chinese parsley,http://idea.rpi.edu/heals/kb/usda#02012
cilantro,http://idea.rpi.edu/heals/kb/usda#02012
"Spices, coriander seed",http://idea.rpi.edu/heals/kb/usda#02013
"Spices, cumin seed",http://idea.rpi.edu/heals/kb/usda#02014
"Spices, curry powder",http://idea.rpi.edu/heals/kb/usda#02015
"Spices, dill seed",http://idea.rpi.edu/heals/kb/usda#02016
"Spices, dill weed, dried",http://idea.rpi.edu/heals/kb/usda#02017
"Spices, fennel seed",http://idea.rpi.edu/heals/kb/usda#02018
"Spices, fenugreek seed",http://idea.rpi.edu/heals/kb/usda#02019
"Spices, garlic powder",http://idea.rpi.edu/heals/kb/usda#02020
"Spices, ginger, ground",http://idea.rpi.edu/heals/kb/usda#02021
"Spices, mace, ground",http://idea.rpi.edu/heals/kb/usda#02022
"Spices, marjoram, dried",http://idea.rpi.edu/heals/kb/usda#02023
"Spices, mustard seed, ground",http://idea.rpi.edu/heals/kb/usda#02024
"Spices, nutmeg, ground",http://idea.rpi.edu/heals/kb/usda#02025
"Spices, onion powder",http://idea.rpi.edu/heals/kb/usda#02026
"Spices, oregano, dried",http://idea.rpi.edu/heals/kb/usda#02027
"Spices, paprika",http://idea.rpi.edu/heals/kb/usda#02028
"Spices, parsley, dried",http://idea.rpi.edu/heals/kb/usda#02029
"Spices, pepper, black",http://idea.rpi.edu/heals/kb/usda#02030
"Spices, pepper, red or cayenne",http://idea.rpi.edu/heals/kb/usda#02031
"Spices, pepper, white",http://idea.rpi.edu/heals/kb/usda#02032
"Spices, poppy seed",http://idea.rpi.edu/heals/kb/usda#02033
"Spices, poultry seasoning",http://idea.rpi.edu/heals/kb/usda#02034
"Spices, pumpkin pie spice",http://idea.rpi.edu/heals/kb/usda#02035
