,food_id,food_name,food_group,food_subgroup,source_name,nutri_score,nutri_score_category,hasQuality
143,291,Arrowroot,Vegetables,Tubers,Fat,-1,A,"['high_vitaminB5', 'high_vitaminB11']"
144,312,Breadfruit,Fruits,Tropical fruits,Fat,0,B,['high_vitaminB5']
145,313,Breadnut tree seed,Herbs and Spices,Other seeds,Fat,1,B,"['high_potassium', 'high_vitaminB5', 'high_vitaminB11']"
146,318,Giant butterbur,Vegetables,Other vegetables,Fat,0,B,"['high_potassium', 'high_vitaminB5']"
147,320,Butternut,Nuts,Nuts,Fat,9,C,"['high_phosphorus', 'high_vitaminB1', 'high_vitaminB5', 'high_vitaminB6', 'high_vitaminB11']"
148,322,Calabash,Gourds,Gourds,Fat,0,B,['high_vitaminB5']
149,326,Carob,Vegetables,Other vegetables,Fat,5,C,"['high_potassium', 'high_calcium', 'high_vitaminB2', 'high_vitaminB5']"
150,328,Cassava,Vegetables,Tubers,Fat,7,C,['high_vitaminB5']
151,330,Chayote,Gourds,Gourds,Fat,-1,A,"['high_vitaminB5', 'high_vitaminB11']"
152,331,Cherimoya,Fruits,Tropical fruits,Fat,-1,A,['high_vitaminB5']
153,332,Chervil,Herbs and Spices,Spices,Fat,-3,A,"['high_vitaminB1', 'high_vitaminB5', 'high_vitaminB8', 'high_vitaminB11']"
154,337,Chinese water chestnut,Vegetables,Other vegetables,Fat,2,B,['high_vitaminB5']
155,338,Garland chrysanthemum,Vegetables,Leaf vegetables,Fat,-4,A,"['high_vitaminK1', 'high_vitaminB5', 'high_vitaminB11']"
156,341,Coconut,Fruits,Tropical fruits,Fat,10,C,"['high_potassium', 'high_vitaminB5', 'high_vitaminB8']"
157,345,Corn salad,Vegetables,Leaf vegetables,Fat,-1,A,['high_vitaminB5']
158,346,Cottonseed,Herbs and Spices,Oilseed crops,Fat,20,E,"['high_potassium', 'high_calcium', 'high_iron', 'high_phosphorus', 'high_vitaminEAlpha', 'high_vitaminK1', 'high_vitaminB1', 'high_vitaminB5', 'high_vitaminB6', 'high_vitaminB8', 'high_vitaminB11']"
159,360,Durian,Fruits,Tropical fruits,Fat,7,C,"['high_vitaminB1', 'high_vitaminB5']"
160,368,European chestnut,Nuts,Nuts,Fat,6,C,"['high_vitaminB5', 'high_vitaminB11']"
161,372,Ginkgo nuts,Herbs and Spices,Other seeds,Fat,2,B,"['high_vitaminB3', 'high_vitaminB5']"
162,384,Horseradish tree,Vegetables,Other vegetables,Fat,-5,A,"['high_vitaminK1', 'high_vitaminB2', 'high_vitaminB5', 'high_vitaminB6']"
163,386,Hyacinth bean,Pulses,Beans,Fat,-3,A,"['high_vitaminB5', 'high_vitaminB11']"
164,387,Irish moss,Aquatic foods,Seaweed,Fat,1,B,"['high_iron', 'high_vitaminB2', 'high_vitaminB5', 'high_vitaminB11']"
165,389,Jackfruit,Fruits,Tropical fruits,Fat,3,C,['high_vitaminB5']
166,391,Java plum,Fruits,Tropical fruits,Fat,0,B,[]
